-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25353-499138
job_title                      | System Analyst III
employer_name                  | Hyundai AutoEver America LLC
secondary_entity_business_name | 
employer_phone                 | 17145813607
employer_poc_first_name        | Sandhya
employer_poc_last_name         | Sivaraman
employer_poc_email             | ssivaraman@autoeveramerica.com
employer_poc_phone             | 17145813607
employer_poc_phone_ext         | 
worksite_address1              | 700 Hyundai Blvd.
worksite_address2              | 
worksite_city                  | Montgomery
worksite_county                | 
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | 2300 Main St
employer_address2              | 
employer_city                  | Irvine
employer_state                 | CA
employer_postal_code           | 92614
begin_date                     | 2026-06-20
end_date                       | 2029-06-19
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Hyundai AutoEver America LLC
soc_code                       | 17-2141.02
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25356-501072
job_title                      | Mechanical Design Engineer
employer_name                  | L&T Technology Services Limited
secondary_entity_business_name | Schwarze Industries LLC
employer_phone                 | 17322484971
employer_poc_first_name        | Pramod
employer_poc_last_name         | Shenoy
employer_poc_email             | pramod.shenoy@ltts.com
employer_poc_phone             | 17322484971
employer_poc_phone_ext         | 
worksite_address1              | 1055 Jordan Road
worksite_address2              | 
worksite_city                  | Huntsville
worksite_county                | 
lawfirm_name_business_name     | Jethmalani & Nallaseth PLLC
employer_address1              | 2035 Lincoln Highway, Edison Square West
employer_address2              | Suite 3002
employer_city                  | Edison
employer_state                 | NJ
employer_postal_code           | 08817
begin_date                     | 2026-06-16
end_date                       | 2029-06-15
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | L&T Technology Services Limited
soc_code                       | 17-2141.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25343-469312
job_title                      | SR. SOFTWARE DEVELOPER
employer_name                  | HCL GLOBAL SYSTEMS INC
secondary_entity_business_name | ALABAMA DEPARTMENT OF PUBLIC HEALTH (ADPH)
employer_phone                 | 12484730720
employer_poc_first_name        | DURGA PRASAD
employer_poc_last_name         | GADDE
employer_poc_email             | GADDE@HCLGLOBAL.COM
employer_poc_phone             | 12484730720
employer_poc_phone_ext         | 200
worksite_address1              | 201 MONROE STREET
worksite_address2              | SUITE 800
worksite_city                  | MONTGOMERY
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 24543 INDOPLEX CIRCLE
employer_address2              | SUITE 220
employer_city                  | FARMINGTON HILLS
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 2026-06-06
end_date                       | 2029-06-05
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | HCL GLOBAL SYSTEMS INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25351-489840
job_title                      | Image Science Specialist
employer_name                  | Imaging Business Machines LLC
secondary_entity_business_name | 
employer_phone                 | 12059564071
employer_poc_first_name        | Robyn
employer_poc_last_name         | McClellan
employer_poc_email             | rmcclellan@ibml.com
employer_poc_phone             | 12053131306
employer_poc_phone_ext         | 
worksite_address1              | 2750 Crestwood Blvd
worksite_address2              | 
worksite_city                  | Irondale
worksite_county                | 
lawfirm_name_business_name     | Maynard Nexsen PC
employer_address1              | 2750 Crestwood Blvd
employer_address2              | 
employer_city                  | Irondale
employer_state                 | AL
employer_postal_code           | 35210
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Imaging Business Machines LLC
soc_code                       | 15-1221.00
h_1b_dependent                 | No
-[ RECORD 5 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25354-499767
