-[ RECORD 1 ]------------------+-------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25356-501599
job_title                      | Staff, Software Engineer
employer_name                  | WAL-MART ASSOCIATES INC
secondary_entity_business_name | 
employer_phone                 | 14792731993
employer_poc_first_name        | Jaime
employer_poc_last_name         | Herrera
employer_poc_email             | Jaime.Deakins@walmart.com
employer_poc_phone             | 14792047224
employer_poc_phone_ext         | 
worksite_address1              | 805 SE MOBERLY LN
worksite_address2              | 
worksite_city                  | BENTONVILLE
worksite_county                | 
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | 1 Customer Dr
employer_address2              | Mail Stop 0215
employer_city                  | BENTONVILLE
employer_state                 | AR
employer_postal_code           | 72716
begin_date                     | 2026-06-22
end_date                       | 2029-06-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | WAL-MART ASSOCIATES INC
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25356-501186
job_title                      | Director, Product Management
employer_name                  | WAL-MART ASSOCIATES INC
secondary_entity_business_name | 
employer_phone                 | 14792731993
employer_poc_first_name        | Jaime
employer_poc_last_name         | Herrera
employer_poc_email             | Jaime.Deakins@walmart.com
employer_poc_phone             | 14792047224
employer_poc_phone_ext         | 
worksite_address1              | 905 Customer Drive
worksite_address2              | 
worksite_city                  | Bentonville
worksite_county                | 
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | 1 Customer Dr
employer_address2              | Mail Stop 0215
employer_city                  | BENTONVILLE
employer_state                 | AR
employer_postal_code           | 72716
begin_date                     | 2026-06-21
end_date                       | 2029-06-20
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | WAL-MART ASSOCIATES INC
soc_code                       | 11-3021.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+-------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25356-501749
job_title                      | Resident
employer_name                  | Mercy Clinic Fort Smith Communities
secondary_entity_business_name | 
employer_phone                 | 16185805825
employer_poc_first_name        | Barb
employer_poc_last_name         | Martin
employer_poc_email             | Barb.Martin@mercy.net
employer_poc_phone             | 16185805825
employer_poc_phone_ext         | 
worksite_address1              | 7301 Rogers Ave.
worksite_address2              | 
worksite_city                  | Fort Smith
worksite_county                | 
lawfirm_name_business_name     | Miller Mayer LLP
employer_address1              | 2901 S 74th St.
employer_address2              | 
employer_city                  | Fort Smith
employer_state                 | AR
employer_postal_code           | 72903
begin_date                     | 2026-06-19
end_date                       | 2029-06-18
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
