-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------
case_number                    | I-200-25325-428713
job_title                      | ASSISTANT PROFESSOR - COMPUTER AND CYBER SCIENCES
employer_name                  | Dakota State University
secondary_entity_business_name | 
employer_phone                 | 16052565124
employer_poc_first_name        | JILENA
employer_poc_last_name         | FAITH
employer_poc_email             | JILENA.FAITH@SDSTATE.EDU
employer_poc_phone             | 16056886050
employer_poc_phone_ext         | 
worksite_address1              | DAKOTA STATE UNIVERSITY
worksite_address2              | 820 N WASHINGTON AVE
worksite_city                  | MADISON
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 820 N Washington Ave
employer_address2              | 
employer_city                  | Madison
employer_state                 | SD
employer_postal_code           | 57042
begin_date                     | 2026-05-22
end_date                       | 2029-05-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Dakota State University
soc_code                       | 25-1021.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------
case_number                    | I-200-25325-427983
job_title                      | ASSOCIATE PROFESSOR - COUNSELOR EDUCATION
employer_name                  | Northern State University
secondary_entity_business_name | 
employer_phone                 | 16056262523
employer_poc_first_name        | JILENA
employer_poc_last_name         | FAITH
employer_poc_email             | JILENA.FAITH@SDSTATE.EDU
employer_poc_phone             | 16056886050
employer_poc_phone_ext         | 
worksite_address1              | NORTHERN STATE UNIVERSITY
worksite_address2              | 1200 SOUTH JAY ST
worksite_city                  | ABERDEEN
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 1200 S Jay St
employer_address2              | 
employer_city                  | Aberdeen
employer_state                 | SD
employer_postal_code           | 57401
begin_date                     | 2026-05-22
end_date                       | 2029-05-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Northern State University
soc_code                       | 25-1081.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------------
case_number                    | I-200-25325-429405
job_title                      | RESEARCH SCIENTIST I
employer_name                  | South Dakota School of Mines and Technology
secondary_entity_business_name | 
employer_phone                 | 16053941203
employer_poc_first_name        | JILENA
employer_poc_last_name         | FAITH
employer_poc_email             | JILENA.FAITH@SDSTATE.EDU
employer_poc_phone             | 16056886050
employer_poc_phone_ext         | 
worksite_address1              | SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY
worksite_address2              | 501 E SAINT JOSEPH ST
worksite_city                  | RAPID CITY
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 501 E Saint Joseph St
employer_address2              | 
employer_city                  | Rapid City
employer_state                 | SD
employer_postal_code           | 57701
begin_date                     | 2026-05-22
end_date                       | 2029-05-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | South Dakota School of Mines and Technology
soc_code                       | 19-2012.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------------
case_number                    | I-200-25325-429469
job_title                      | RESEARCH ENGINEER AND INSTRUMENTATION SPECIALIST
employer_name                  | South Dakota School of Mines and Technology
secondary_entity_business_name | 
employer_phone                 | 16053941203
employer_poc_first_name        | JILENA
employer_poc_last_name         | FAITH
employer_poc_email             | JILENA.FAITH@SDSTATE.EDU
employer_poc_phone             | 16056886050
employer_poc_phone_ext         | 
worksite_address1              | SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY
worksite_address2              | 501 E SAINT JOSEPH ST
worksite_city                  | RAPID CITY
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 501 E Saint Joseph St
employer_address2              | 
employer_city                  | Rapid City
employer_state                 | SD
employer_postal_code           | 57701
begin_date                     | 2026-05-22
end_date                       | 2029-05-21
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | South Dakota School of Mines and Technology
soc_code                       | 17-2199.09
h_1b_dependent                 | No
-[ RECORD 5 ]------------------+------------------------------------------------------------------------------------
