case_number|job_title|employer_name|secondary_entity_business_name|employer_phone|employer_poc_first_name|employer_poc_last_name|employer_poc_email|employer_poc_phone|employer_poc_phone_ext|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|new_employment|continued_employment|change_previous_employment|new_concurrent_employment|change_employer|amended_petition|employer_name|soc_code|h_1b_dependent
I-200-25247-285949|Chief Perfusionist|University of Vermont Health Network - University of Vermont Medical Center||18028470000|Meghan|Fay-McCaffrey|uvmhnmedicalgroup-professionalservices@uvmhealth.org|18028477213||111 Colchester Ave||Burlington||Fragomen Del Rey Bernsen & Loewy LLP|111 Colchester Ave||Burlington|VT|05401|2026-03-06|2029-03-05|1|0|1|0|0|0|0|University of Vermont Health Network - University of Vermont Medical Center|29-9099.00|No
I-200-25238-267036|Medical Lab Scientist|Company Name University of Vermont Health Network Porter Medical Center||18023884701|Tara|Farrell|tfarrell@uvmhealth.org|18023885621||115 Porter Drive||Middlebury||Fragomen Del Rey Bernsen & Loewy LLP|115 Porter Drive||Middlebury|VT|05753|2026-02-06|2029-02-05|1|0|1|0|0|0|0|Company Name University of Vermont Health Network Porter Medical Center|29-2011.00|No
I-200-25262-321733|Hospice Social Worker III|University of Vermont Health Network - Home Health & Hospice Inc||18026581900|Christine|Werneke|Christine.Werneke@uvmhomehealth.org|18028604431||1110 Prim Road||Colchester||Fragomen Del Rey Bernsen & Loewy LLP|1110 Prim Road||Colchester|VT|05446|2026-01-12|2029-01-11|1|1|0|0|0|0|0|University of Vermont Health Network - Home Health & Hospice Inc|21-1022.00|No
I-200-25188-155352|Lecturer|The University of Vermont||18026564296|Emma|Huse|ischolar@uvm.edu|18026564296||82 University Place|Dept of Mathematics and Statistics|Burlington|||633 Main Street|Office of Intl Education - L&L B101|Burlington|VT|05405|2026-01-06|2029-01-05|1|1|0|0|0|0|0|The University of Vermont|25-1022.00|No
I-200-25212-212591|Principal Member of Technical Staff|athenahealth Inc||16174028285|Christopher|Martin|chmartin@athenahealth.com|18009815084||27 Green Mountain Drive|107|South Burlington||Jackson Lewis PC|80 Guest Street||Boston|MA|02135|2026-01-06|2029-01-05|1|0|1|0|0|0|0|athenahealth Inc|15-1252.00|No
I-200-25247-286173|Assistant Professor of Cybersecurity|Champlain College Inc||18028602721|Gwen|Goodman|ggoodman@champlain.edu|18028655769||163 South Willard Street||Burlington||Dinse PC|163 South Willard Street||Burlington|VT|05401|2026-01-01|2028-12-31|1|0|1|0|0|0|0|Champlain College Inc|25-1021.00|No
I-200-25217-221631|Assistant Professor|The University of Vermont and State Agricultural College||18026564296|Emma|Huse|ischolar@uvm.edu|18026564296||208 Colchester Avenue|202E Mann Hall|Burlington|||633 Main Street|Office of Intl Education - L&L B101|Burlington|VT|05405|2025-12-15|2028-12-14|1|0|1|0|0|0|0|The University of Vermont and State Agricultural College|25-1069.00|No
I-200-25164-089766|Physical Therapist|Grandison Management Inc|Barre Gardens for Nursing and Rehabilitation|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|378 Prospect Street||Barre|WASHINGTON||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25168-100380|OCCUPATIONAL THERAPIST|Grandison Management Inc|Barre Gardens for Nursing and Rehabilitation|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|378 Prospect Street||Barre|WASHINGTON||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25167-096843|Physical Therapist|Grandison Management Inc|CareerStaff|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|2 Blackberry Lane||Bennington|BENNINGTON||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25169-106603|Occupational Therapist|Grandison Management Inc|CareerStaff|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|2 Blackberry Lane||Bennington|BENNINGTON||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25169-106605|Occupational Therapist|Grandison Management Inc|CareerStaff|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|105 Chester Road||Springfield|WINDSOR||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25167-096706|Physical Therapist|Grandison Management Inc|CareerStaff|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|49 Cedar Hill Drive||Windsor|WINDSOR||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25167-096847|Physical Therapist|Grandison Management Inc|CareerStaff|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|105 Chester Road||Springfield|WINDSOR||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25168-102401|Occupational Therapist|Grandison Management Inc|CareerStaff|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|49 Cedar Hill Drive||Windsor|WINDSOR||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25169-106588|Occupational Therapist|Grandison Management Inc|Priority Healthcare|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|300 Pearl Street||Burlington|CHITTENDEN||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25167-096833|Physical Therapist|Grandison Management Inc|Priority Healthcare|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|300 Pearl Street||Burlington|CHITTENDEN||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25168-100402|OCCUPATIONAL THERAPIST|Grandison Management Inc|Priority Healthcare|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|1248 Hospital Dr||St Johnsbury|ST JOHNSBURY||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25164-089780|Physical Therapist|Grandison Management Inc|Priority Healthcare|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|1248 Hospital Dr||St Johnsbury|ST JOHNSBURY||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25168-100383|OCCUPATIONAL THERAPIST|Grandison Management Inc|Priority Healthcare|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|98 Hospitality Drive||Barre|WASHINGTON||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1122|No
I-200-25164-089773|Physical Therapist|Grandison Management Inc|Priority Healthcare|17183366600|Yoel|Trenk|yt@grandisonusa.com|17183366600|4453|98 Hospitality Drive||Barre|WASHINGTON||4547 US Highway 9 North|Suite Q|Howell|NJ|07731|2025-12-13|2028-12-12|40|10|10|10|0|0|10|Grandison Management Inc|29-1123|No
I-200-25252-295974|Staff Nurse II|University of Vermont Health Network - University of Vermont Medical Center||18028470000|Logan|Bara|logan.bara@uvmhealth.org|18023919672||111 Colchester Ave||Burlington||Fragomen Del Rey Bernsen & Loewy LLP|111 Colchester Ave||Burlington|VT|05401|2025-12-08|2028-12-07|1|1|0|0|0|0|0|University of Vermont Health Network - University of Vermont Medical Center|29-1141.00|No
I-201-25231-252170|Food Service Manager|Sugarbush Mountain Resort Inc||18025836380|Annemarie|Todd|atodd@sugarbush.com|18025836381||1840 Sugarbush Access Road||Warren||William Velie Attorney at Law PLLC|1840 Sugarbush Access Road||Warren|VT|05674|2025-11-19|2028-11-18|1|0|1|0|0|0|0|Sugarbush Mountain Resort Inc|11-9051.00|N/A
I-200-25169-106381|Staff Nurse II|University of Vermont Health Network - University of Vermont Medical Center||18028470000|Gregory|Cary|Gregory.Cary@uvmhealth.org|18023919672||111 Colchester Ave||Burlington|CHITTENDEN|Fragomen Del Rey Bernsen & Loewy LLP|111 Colchester Ave||Burlington|VT|05401|2025-11-12|2028-11-11|1|0|1|0|0|0|0|University of Vermont Health Network - University of Vermont Medical Center|29-1141|No
