case_number|job_title|employer_name|secondary_entity_business_name|employer_phone|employer_poc_first_name|employer_poc_last_name|employer_poc_email|employer_poc_phone|employer_poc_phone_ext|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|new_employment|continued_employment|change_previous_employment|new_concurrent_employment|change_employer|amended_petition|employer_name|soc_code|h_1b_dependent
I-200-25346-478067|Data Manager|Kansas Legislative Research Department||17852963181|Shirley|Morrow|Shirley.Morrow@klrd.ks.gov|17852963542||300 SW 10th Ave, Room 68- West, State Capitol Building||Topeka||McCrummen & McCullick Immigration Law LLC|300 SW Tenth Avenue, Room 68-W||Topeka|KS|66612|2026-03-06|2029-03-05|1|1|0|0|0|0|0|Kansas Legislative Research Department|15-2051.00|No
I-200-25247-286366|Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1712 Claflin Road||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2026-02-01|2029-01-31|1|1|0|0|0|0|0|Kansas State University|25-1041.00|No
I-200-25343-469299|Fellow Post Doc|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1712 Claflin Road||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2026-02-01|2029-01-31|1|1|0|0|0|0|0|Kansas State University|15-2099.01|No
I-200-25308-367579|Analyst|Tata Consultancy Services Limited|Kansas Department of Labor|13012319083|Amit / Venkata Srinath|Jindal / Yarasinghu|amit1.jindal@tcs.com|13012319083||1309 SW Topeka Blvd||Topeka||Goel & Anderson LLC|9201 Corporate Boulevard|Suite 320|Rockville|MD|20850|2026-01-26|2029-01-25|1|0|1|0|0|0|0|Tata Consultancy Services Limited|15-1211.00|Yes
I-200-25308-373160|Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1301 Mid Campus Drive||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2026-01-04|2029-01-03|1|1|0|0|0|0|0|Kansas State University|25-1041.00|No
I-200-25344-472674|Senior Research Scientist|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1800 Denison Ave||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2026-01-04|2029-01-03|1|1|0|0|0|0|0|Kansas State University|19-4021.00|No
I-200-25336-450849|Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1301 Mid Campus Drive||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2026-01-04|2029-01-03|1|1|0|0|0|0|0|Kansas State University|25-1042.00|No
I-200-25310-385221|Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1301 Mid Campus Drive||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2026-01-04|2029-01-03|1|1|0|0|0|0|0|Kansas State University|25-1041.00|No
I-200-25328-432479|Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1301 Mid Campus Drive||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2026-01-04|2029-01-03|1|1|0|0|0|0|0|Kansas State University|25-1041.00|No
I-200-25231-252903|Assistant Professor|Kansas State University||17855326449|Ang|Robson|arobson@ksu.edu|17855326449||1301 Lovers Lane||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2026-01-01|2028-12-31|1|0|1|0|0|0|0|Kansas State University|25-1011.00|No
I-200-25254-303252|Fellow Post Doc|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1712 Claflin Rd||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-12-21|2028-12-20|1|0|1|0|0|0|0|Kansas State University|19-1029.00|No
I-200-25233-258083|Assistant Professor|Kansas State University||17855326449|Ang|Robson|arobson@ksu.edu|17855326449||2310 Centennial Rd||Salina|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-12-19|2028-12-18|1|0|1|0|0|0|0|Kansas State University|25-1021.00|No
I-200-25318-408145|Research Associate|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1800 Denison Ave||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2025-12-07|2028-12-06|1|1|0|0|0|0|0|Kansas State University|19-1022.00|No
I-200-25315-399078|Research Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1620 Denison Ave||Manhattan|||2012 Tunstall Circle, Suite 104|Jardine Complex, Bldg 7|Manhattan|KS|66502|2025-11-29|2028-11-28|1|1|0|0|0|0|0|Kansas State University|19-4021.00|No
I-200-25252-296138|Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||920C N Martin Luther King Jr Drive||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-11-09|2028-11-08|1|1|0|0|0|0|0|Kansas State University|25-1031.00|No
I-200-25261-317919|Research Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||920 N Martin Luther King Jr Drive||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-11-09|2028-11-08|1|1|0|0|0|0|0|Kansas State University|17-2021.00|No
I-200-25125-938487|Applications Developer III|Kansas Department of Transportation||17852963831|Teresa|Prochaska|audrey.mackey@ks.gov|17852963831||700 SW Harrison St||Topeka|SHAWNEE|Ware Immigration|700 SW Harrison St, 3rd FL West||Topeka|KS|66603|2025-11-03|2028-11-02|1|1|0|0|0|0|0|Kansas Department of Transportation|15-1295|No
I-200-25128-952551|Developer|Tata Consultancy Services Limited|Kansas Department of Labor|13012319083|Amit / Venkata Srinath|Jindal / Yarasinghu|amit1.jindal@tcs.com|13012319083||1309 SW Topeka Blvd||Topeka|SHAWNEE|Goel & Anderson LLC|9201 Corporate Boulevard|Suite 320|Rockville|MD|20850|2025-10-20|2028-10-19|1|0|1|0|0|0|0|Tata Consultancy Services Limited|15-1251|Yes
I-200-25148-023361|Developer|Tata Consultancy Services Limited|Kansas Department of Labor|13012319083|Amit / Venkata Srinath|Jindal / Yarasinghu|amit1.jindal@tcs.com|13012319083||1309 SW Topeka Blvd||Topeka|SHAWNEE|Goel & Anderson LLC|9201 Corporate Boulevard|Suite 320|Rockville|MD|20850|2025-10-20|2028-10-19|1|0|1|0|0|0|0|Tata Consultancy Services Limited|15-1251|Yes
I-200-25268-335752|Research Assistant Professor|Kansas State University||17855326448|Ang|Robson|arobson@ksu.edu|17855326448||1620 Denison Ave||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-10-12|2028-10-11|1|1|0|0|0|0|0|Kansas State University|19-4021.00|No
I-200-25099-848054|Clinical Assistant Professor|Kansas State University||17855326449|Ang|Robson|arobson@ksu.edu|17855326449||1710 Denison Ave||Manhattan|RILEY||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-10-09|2028-10-08|1|0|1|0|0|0|0|Kansas State University|25-1071|No
I-200-25183-147330|Research Associate|Kansas State University||17855326449|Ang|Robson|arobson@ksu.edu|17855326449||1712 Claflin Road||Manhattan|||International Student and Scholar Services|1414 Mid Campus Dr. North|Manhattan|KS|66506|2025-10-12|2028-10-07|1|1|0|0|0|0|0|Kansas State University|19-1013.00|No
