-[ RECORD 1 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25342-466156
job_title                      | TECHNICAL LEAD / JAVA
employer_name                  | HCL GLOBAL SYSTEMS INC
secondary_entity_business_name | STATE OF MICHIGAN
employer_phone                 | 12484730720
employer_poc_first_name        | DURGA PRASAD
employer_poc_last_name         | GADDE
employer_poc_email             | GADDE@HCLGLOBAL.COM
employer_poc_phone             | 12484730720
employer_poc_phone_ext         | 200
worksite_address1              | 235 SOUTH GRAND AVE
worksite_address2              | 
worksite_city                  | LANSING
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 24543 INDOPLEX CIRCLE
employer_address2              | SUITE 220
employer_city                  | FARMINGTON HILLS
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 2026-05-05
end_date                       | 2029-05-04
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | HCL GLOBAL SYSTEMS INC
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25308-372758
job_title                      | Cloud Architect
employer_name                  | CNET GLOBAL SOLUTIONS INC
secondary_entity_business_name | State of Michigan
employer_phone                 | 19727928859
employer_poc_first_name        | Mahesh
employer_poc_last_name         | Cheruku
employer_poc_email             | mahesh@cnet-global.com
employer_poc_phone             | 19727928859
employer_poc_phone_ext         | 
worksite_address1              | 400 South Pine Street
worksite_address2              | 
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | Reddy Neumann Brown PC
employer_address1              | 2600 N CENTRAL EXPRESSWAY, SUITE 650
employer_address2              | 
employer_city                  | RICHARDSON
employer_state                 | TX
employer_postal_code           | 75080
begin_date                     | 2026-04-17
end_date                       | 2029-04-16
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | CNET GLOBAL SOLUTIONS INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25309-375216
job_title                      | Specialist-Research
employer_name                  | Michigan State University
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | 612 Wilson Road
worksite_address2              | DOE Plant Research Laboratory
worksite_city                  | East Lansing
worksite_county                | 
lawfirm_name_business_name     | Irani & Wise PLC
employer_address1              | 426 Auditorium Road, Room 422
employer_address2              | Administration Bldg.
employer_city                  | East Lansing
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-04-05
end_date                       | 2029-04-04
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Michigan State University
soc_code                       | 19-1013.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25272-342065
job_title                      | Application Developer
employer_name                  | ASTIR TECHNOLOGIES LLC
secondary_entity_business_name | State of Michigan
employer_phone                 | 17325437000
employer_poc_first_name        | ROBERT
employer_poc_last_name         | MARKOWITZ
employer_poc_email             | BOBM@ASTIR.TECH
employer_poc_phone             | 17325437000
employer_poc_phone_ext         | 704
worksite_address1              | 525 West Allegan Street
worksite_address2              | 
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 50 CRAGWOOD ROAD
employer_address2              | SUITE 203
employer_city                  | SOUTH PLAINFIELD
employer_state                 | NJ
employer_postal_code           | 07080
begin_date                     | 2026-03-16
end_date                       | 2029-03-15
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | ASTIR TECHNOLOGIES LLC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25307-364904
job_title                      | Application Developer
employer_name                  | ASTIR TECHNOLOGIES LLC
secondary_entity_business_name | State of Michigan
employer_phone                 | 17325437000
employer_poc_first_name        | ROBERT
employer_poc_last_name         | MARKOWITZ
employer_poc_email             | BOBM@ASTIR.TECH
employer_poc_phone             | 17325437000
employer_poc_phone_ext         | 704
worksite_address1              | 525 West Allegan Street
worksite_address2              | 
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 50 CRAGWOOD ROAD
employer_address2              | SUITE 203
employer_city                  | SOUTH PLAINFIELD
employer_state                 | NJ
employer_postal_code           | 07080
begin_date                     | 2026-03-16
end_date                       | 2029-03-15
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | ASTIR TECHNOLOGIES LLC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25269-337549
job_title                      | Software Developer
employer_name                  | HTC GLOBAL SERVICES INC
secondary_entity_business_name | State of Michigan
employer_phone                 | 12487862500
employer_poc_first_name        | SUTBIR
employer_poc_last_name         | RANDHAWA
employer_poc_email             | IMMIGRATION@HTCINC.COM
employer_poc_phone             | 12487862500
employer_poc_phone_ext         | 109
worksite_address1              | 400 S Pine St
worksite_address2              | 
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 3270 WEST BIG BEAVER ROAD
employer_address2              | 
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48084
begin_date                     | 2026-03-13
end_date                       | 2029-03-12
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | HTC GLOBAL SERVICES INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25266-328193
job_title                      | Programmer Analyst/Software Developer
employer_name                  | Gaps and Bridges Inc
secondary_entity_business_name | State Of Michigan - Department of Technology, Management and Budget
employer_phone                 | 12147829951
employer_poc_first_name        | Sudhakar
employer_poc_last_name         | Vellore
employer_poc_email             | hr@gapsandbridges.com
employer_poc_phone             | 12147829951
employer_poc_phone_ext         | 
worksite_address1              | 4125 West St Joseph Hwy
worksite_address2              | 1st Floor
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | THE LAW FIRM OF SIM PARVATHANENI & BROWN PLLC
employer_address1              | 12000 Ford Road
employer_address2              | SUITE A245
employer_city                  | FARMERS BRANCH
employer_state                 | TX
employer_postal_code           | 75234
begin_date                     | 2026-03-11
end_date                       | 2029-03-10
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Gaps and Bridges Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25356-502454
job_title                      | Laboratory Technologist/Leader
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | Veterinary Medical Center, 4125 Beaumont Rd
worksite_address2              | 
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 440
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-03-05
end_date                       | 2029-03-04
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 29-2011.00
h_1b_dependent                 | No
-[ RECORD 9 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25356-502816
job_title                      | Laboratory Technologist
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | Veterinary Medical Center, 4125 Beaumont Rd
worksite_address2              | 
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 440
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-03-05
end_date                       | 2029-03-04
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 29-2011.00
h_1b_dependent                 | No
-[ RECORD 10 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25265-324274
job_title                      | Epidemiologist
employer_name                  | MICHIGAN PUBLIC HEALTH INSTITUTE
secondary_entity_business_name | Michigan Department of Health and Human Services
employer_phone                 | 15173248309
employer_poc_first_name        | Heather
employer_poc_last_name         | White
employer_poc_email             | HWHITE@MPHI.ORG
employer_poc_phone             | 15173248309
employer_poc_phone_ext         | 
worksite_address1              | 2417 E Jolly Rd
worksite_address2              | Apt 7
worksite_city                  | Lansing
worksite_county                | 
lawfirm_name_business_name     | MILLER JOHNSON
employer_address1              | 2436 WOODLAKE CIRCLE
employer_address2              | SUITE 300
employer_city                  | OKEMOS
employer_state                 | MI
employer_postal_code           | 48864
begin_date                     | 2026-03-01
end_date                       | 2029-02-28
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN PUBLIC HEALTH INSTITUTE
soc_code                       | 19-1041.00
h_1b_dependent                 | No
-[ RECORD 11 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25346-477826
job_title                      | Data Resource Analyst
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | Secchia Center, 12 Michigan St NE
worksite_address2              | 
worksite_city                  | Grand Rapids
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 437
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-02-26
end_date                       | 2029-02-25
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 15-2031.00
h_1b_dependent                 | No
-[ RECORD 12 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25336-450976
job_title                      | Engineering/Physicist Accelerator II
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | MSU, Facility for Rare Isotope Beams
worksite_address2              | 640 South Shaw Lane
worksite_city                  | East Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 440
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-02-20
end_date                       | 2029-02-19
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 17-2141.00
h_1b_dependent                 | No
-[ RECORD 13 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25272-341794
job_title                      | Senior Delivery Specialist
employer_name                  | Appridat Solutions LLC
secondary_entity_business_name | State of Michigan (Hybrid)
employer_phone                 | 16786486191
employer_poc_first_name        | Anj
employer_poc_last_name         | Balusu
employer_poc_email             | anj@appridat.com
employer_poc_phone             | 16786486191
employer_poc_phone_ext         | 503
worksite_address1              | 7285 Parsons Drive
worksite_address2              | 
worksite_city                  | Dimondale
worksite_county                | 
lawfirm_name_business_name     | Law Offices of Priti Tripathi PC
employer_address1              | 5655 Peachtree Parkway
employer_address2              | Suite 207
employer_city                  | Peachtree Corners
employer_state                 | GA
employer_postal_code           | 30092
begin_date                     | 2026-02-20
end_date                       | 2029-02-19
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Appridat Solutions LLC
soc_code                       | 15-1244.00
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25336-451265
job_title                      | Scientist (FRIB/NSCL)
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | MSU, Facility for Rare Isotope Beams
worksite_address2              | 640 South Shaw Lane
worksite_city                  | East Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 440
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-02-13
end_date                       | 2029-02-12
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 19-2012.00
h_1b_dependent                 | No
-[ RECORD 15 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25345-474164
job_title                      | Research Associate
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | MSU, Department of Animal Science
worksite_address2              | 474 S. Shaw Lane
worksite_city                  | East Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 440
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-02-01
end_date                       | 2029-01-31
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 19-1029.00
h_1b_dependent                 | No
-[ RECORD 16 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25308-371828
job_title                      | Research Associate - Fixed Term
employer_name                  | MICHIGAN STATE UNIVERSITY
secondary_entity_business_name | 
employer_phone                 | 15173531720
employer_poc_first_name        | Teresa
employer_poc_last_name         | Mastin
employer_poc_email             | ebvisateam@msu.edu
employer_poc_phone             | 15173531720
employer_poc_phone_ext         | 
worksite_address1              | 1066 Bogue St
worksite_address2              | 
worksite_city                  | East Lansing
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 426 Auditorium Road, Room 440
employer_address2              | Administration Bldg.
employer_city                  | EAST LANSING
employer_state                 | MI
employer_postal_code           | 48824
begin_date                     | 2026-01-22
end_date                       | 2029-01-21
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | MICHIGAN STATE UNIVERSITY
soc_code                       | 19-1013.00
h_1b_dependent                 | No
-[ RECORD 17 ]-----------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-25203-190473
job_title                      | Software Application Developers(Information security Archite
employer_name                  | Business Technology Software Solutions Inc
secondary_entity_business_name | Michigan State Police Head Quarters
employer_phone                 | 12146183509
employer_poc_first_name        | Venkat
employer_poc_last_name         | Beeram
employer_poc_email             | venkat@btssi.net
employer_poc_phone             | 12146183509
employer_poc_phone_ext         | 
worksite_address1              | 7150 Harris Drive
worksite_address2              | 
worksite_city                  | Dimondale
worksite_county                | 
lawfirm_name_business_name     | IMM Laws
employer_address1              | 6351 Preston Road
employer_address2              | Suite 115
employer_city                  | Frisco
employer_state                 | TX
employer_postal_code           | 75034
begin_date                     | 2026-01-21
end_date                       | 2029-01-20
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
