case_number|job_title|employer_name|secondary_entity_business_name|employer_phone|employer_poc_first_name|employer_poc_last_name|employer_poc_email|employer_poc_phone|employer_poc_phone_ext|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|new_employment|continued_employment|change_previous_employment|new_concurrent_employment|change_employer|amended_petition|employer_name|soc_code|h_1b_dependent
I-200-25356-502559|Hall Director|Minnesota State University, Mankato||15073892017|Jill|Frederickson-Kratzke|jill.frederickson-kratzke@mnsu.edu|15073892017||600 South Road||Mankato||Fisher & Phillips LLP|336 Wigley Administration Ctr, 600 S Road||Mankato|MN|56001|2026-06-02|2029-06-01|1|1|0|0|0|0|0|Minnesota State University, Mankato|21-1012.00|No
I-200-25339-459556|Academic  Advisor (Allied Health)|Minnesota State Colleges and Universities||15073892017|Jill|Frederickson-Kratzke|jill.frederickson-kratzke@mnsu.edu|15073892017||336 Wigley Administration Center||Mankato||Perman Law Firm PLLC|336 Wigley Administration Center||Mankato|MN|56001|2026-05-09|2029-05-08|1|0|1|0|0|0|0|Minnesota State Colleges and Universities|21-1012.00|No
I-200-25339-459565|Acting Assistant Director, Maverick Success Program|Minnesota State Colleges and Universities||15073892017|Jill|Frederickson-Kratzke|jill.frederickson-kratzke@mnsu.edu|15073892017||336 Wigley Administration Center||Mankato||Perman Law Firm PLLC|336 Wigley Administration Center||Mankato|MN|56001|2026-05-09|2029-05-08|1|0|1|0|0|0|0|Minnesota State Colleges and Universities|21-1012.00|No
I-200-25306-357463|WAS  Administrator|Orpine Inc|Minnesota Department of Human Services|14703001072|Ashwini|Songyan|immigration@orpine.com|14703001072||540 Cedar St||Saint Paul|||5865 North Point Parkway|Ste 250|Alpharetta|GA|30022|2026-04-24|2029-04-23|1|0|1|0|0|0|0|Orpine Inc|15-1244.00|Yes
I-200-25350-488276|ORACLE DATABASE ADMINISTRATOR|SFORCE TECHNOLOGIES LLC|Minnesota Department of Human services ( State of Minnesoata)|19728320756|Viswanath|Palepu|accounts@sforcetechllc.com|19728320756||540 Cedar st||St.Paul|||9001 E VALLEY RANCH PKWY|suite 1030|Irving|TX|75063|2026-03-19|2029-03-18|1|0|1|0|0|0|0|SFORCE TECHNOLOGIES LLC|15-1242.00|No
I-200-25266-327374|SeniorJava Developer|SYNERGY TECHNOLOGIES LLC|State of MN, Minnesota Department of Education|19546032335|James|Higbe|james.higbe@synergytechs.net|19047161249||400 NE Stinson Blvd||Minneapolis||HALLETT MCCANN LAW GROUP LTD.|2825 N University Drive|Suite 210|Coral Springs|FL|33065|2026-01-01|2028-12-31|1|0|0|1|0|0|0|SYNERGY TECHNOLOGIES LLC|15-1252.00|Yes
I-200-25342-464963|Application Developer|InfoDrive Systems Inc|Metropolitan Council, State of Minnesota|12057376878|Vamshidhar Rao|Nadipelli|Vamshi@infodrivesystems.com|12057376878||390 Robert Street North||Saint Paul|||6909 W Ray Road|Suite 21-9|Chandler|AZ|85226|2025-12-22|2028-12-21|1|0|0|0|0|0|1|InfoDrive Systems Inc|15-1252.00|Yes
I-200-25184-150811|Assistant Professor, Electrical and Computer Engineering|Minnesota State University, Mankato||15073892015|Frederickson-Kratze|Jill|jill.frederickson-kratzke@mnsu.edu|15073892017||600 South Road||Mankato||FordMurray|336 Wigley Administration Ctr, 600 S Road||Mankato|MN|56001|2025-12-13|2028-12-12|1|0|1|0|0|0|0|Minnesota State University, Mankato|25-1032.00|No
I-200-25345-476799|WTX / WPS Developer|innoSoul Inc|Minnesota Department of Human Services|15184000425|Rashi|Shamshabad|accounts@innosoul.com|15184000425||540 Cedar St||St. Paul||Law Office of Keshab Raj Seadie PC|349 Kinderkamack Road||Westwood|NJ|07675|2025-12-12|2028-12-11|1|0|0|0|0|0|1|innoSoul Inc|15-1252.00|No
I-200-25314-394161|SYSTEMS ANALYST|COMPUNNEL SOFTWARE GROUP INC|STATE OF MINNESOTA|16096069010|Arun|Krishnanunni|IMMIGRATION@COMPUNNEL.COM|16096069010|1249|444 LAFAYETTE RD||ST PAUL|||4390 Route 1 North|Suite 302|Princeton|NJ|08540|2025-11-17|2028-11-16|1|0|0|0|0|0|1|COMPUNNEL SOFTWARE GROUP INC|15-1211.00|Yes
I-200-25118-911128|Business Systems Analyst|Genius Minds LLC|State of Minnesota - Department of Human Services|17029004698|Amber|Primm|amber@genminds.com|17029004698||444 Lafayette Rd||St. Paul|RAMSEY|Rajan Law LLC|1201 Pacific Avenue|Suite 600|Tacoma|WA|98402|2025-10-01|2028-09-30|1|0|1|0|0|0|0|Genius Minds LLC|13-1111|Yes
I-200-25139-991881|QA Automation Engineer|Ardor IT Solutions Inc|State of Minnesota (DHS.MN.IT)|14055561218|FNU|Richa Kumari|vamshi@ardoritsolutions.com|14055561218||540 Cedar St||Saint Paul|RAMSEY|Kodem Law Firm PLLC|8801 J M Keynes Dr|STE 290|Charlotte|NC|28262|2025-10-01|2028-09-30|1|1|0|0|0|0|0|Ardor IT Solutions Inc|15-1253|Yes
I-200-25258-309622|Implementation Analyst|Fast Enterprises LLC|State of Minnesota, Department of Public Safety|13037703700|Melanie|Jones|mjones@fastcore.com|13037703700||445 Minnesota St.||Saint Paul|||7229 S Alton Way||Centennial|CO|80112|2025-10-01|2028-09-30|1|0|1|0|0|0|0|Fast Enterprises LLC|15-1252.00|No
I-200-25146-017478|Business Systems Analyst|Genius Minds LLC|State of Minnesota - Department of Human Services|17029004698|Amber|Primm|amber@genminds.com|17029004698||444 Lafayette Rd||St. Paul|RAMSEY|Rajan Law LLC|1201 Pacific Avenue|Suite 600|Tacoma|WA|98402|2025-09-24|2028-09-23|1|0|1|0|0|0|0|Genius Minds LLC|13-1111|Yes
I-200-25237-264840|Assistant Professor, Mechanical Engineering|Minnesota State University, Mankato||15073892017|Jill|Frederickson-Kratzke|jill.frederickson-kratzke@mnsu.edu|15073892017||600 S Road||Mankato||FordMurray|336 Wigley Administration Ctr, 600 S. Road||Mankato|MN|56001|2025-09-01|2028-08-31|1|0|0|0|0|1|0|Minnesota State University, Mankato|25-1032.00|No
I-200-25231-251361|SCRUM MASTER|GLOBAL TECH CONSULTING LLC|STATE OF MINNESOTA- BUREAU OF CRIMINAL APPREHENSION (BCA)|16124700241|ANUSHA|KUNDENA|HR@GLOBAL-TECHCONSULTING.COM|16124700241||1430 MARYLAND AVE E.||ST. PAUL||LAW OFFICE OF THOMAS V. ALLEN PLLC.|20731 HOLYOKE AVENUE|SUITE 231|LAKEVILLE|MN|55044|2025-08-27|2028-08-26|1|0|0|0|0|1|0|GLOBAL TECH CONSULTING LLC|15-1299.09|No
I-200-25050-707766|Data and Systems Specialst|Minnesota State University, Mankato||15073892017|Jill|Frederickson-Kratzke|jill.frederickson-kratzke@mnsu.edu|15073892017||600 South Road||Mankato|BLUE EARTH|FordMurray|336 Wigley Administration Center, 600 S Road||Mankato|MN|56001|2025-08-21|2028-08-20|1|1|0|0|0|0|0|Minnesota State University, Mankato|15-2051|No
I-200-25091-818313|Associate Professor|Minnesota State Colleges and Universities||15074572766|Lori|Miki|lmiki@winona.edu|15074572766||175 W Mark St||Winona|WINONA|Larson King LLP|175 W Mark St.||Winona|MN|55987|2025-08-19|2028-08-18|1|0|1|0|0|0|0|Minnesota State Colleges and Universities|25-1063|No
