-[ RECORD 1 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25336-450679
job_title                      | .NET DEVELOPER
employer_name                  | TECHSMART GLOBAL INC
secondary_entity_business_name | STATE OF NEW MEXICO DEPARTMENT OF HEALTH
employer_phone                 | 16095893999
employer_poc_first_name        | ARAVIND
employer_poc_last_name         | DARUVURU
employer_poc_email             | HR@TECHSMARTGLOBAL.COM
employer_poc_phone             | 16095893999
employer_poc_phone_ext         | 
worksite_address1              | 1190 ST. FRANCIS DRIVE
worksite_address2              | 
worksite_city                  | SANTA FE
worksite_county                | 
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 666 PLAINSBORO ROAD
employer_address2              | SUITE 1116
employer_city                  | PLAINSBORO
employer_state                 | NJ
employer_postal_code           | 08536
begin_date                     | 2026-05-16
end_date                       | 2029-05-15
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | TECHSMART GLOBAL INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25316-400045
job_title                      | Assistant Professor
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462108
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU Department of Civil Engineering
worksite_address2              | 3035 S Espina St
worksite_city                  | LAS CRUCES
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller P.A.
employer_address1              | P.O. Box 30001 MSC 3HRS
employer_address2              | 
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-05-09
end_date                       | 2029-05-08
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 25-1032.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25310-382806
job_title                      | Assistant Professor
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | Klipsch School of Electrical and Computer Engineering
worksite_address2              | Thomas & Brown Hall 1125 Frenger Mall
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller P.A.
employer_address1              | P.O. Box 30001 MSC 3HRS
employer_address2              | 
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-04-01
end_date                       | 2029-03-31
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 25-1032.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25310-385218
job_title                      | JAVA DEVELOPER
employer_name                  | IT RESOURCES INC
secondary_entity_business_name | NEW MEXICO ENVIRONMENT DEPARTMENT (NMED)
employer_phone                 | 13024440205
employer_poc_first_name        | CHRISTINA
employer_poc_last_name         | MITCHELL
employer_poc_email             | HR@IT-RESINC.COM
employer_poc_phone             | 13024440205
employer_poc_phone_ext         | 
worksite_address1              | 1190 S ST FRANCIS DR.
worksite_address2              | 
worksite_city                  | SANTA FE
worksite_county                | 
lawfirm_name_business_name     | LAW OFFICE OF THOMAS V. ALLEN PLLC.
employer_address1              | 220 CONTINENTAL DRIVE
employer_address2              | SUITE 104
employer_city                  | NEWARK
employer_state                 | DE
employer_postal_code           | 19713
begin_date                     | 2026-03-30
end_date                       | 2029-03-29
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | IT RESOURCES INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25343-467730
job_title                      | Software Developer Senior
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU Digital Learning, Milton Hall, Room 185
worksite_address2              | 2915 McFie Circle
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller PA
employer_address1              | P.O. Box 30001
employer_address2              | MSC 3HRS
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-03-21
end_date                       | 2029-03-20
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25238-268305
job_title                      | Research Scientist, Associate
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU CEMRC
worksite_address2              | 1400 University Dr.
worksite_city                  | Carlsbad
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller PA
employer_address1              | P.O. Box 30001
employer_address2              | MSC 3HRS
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-02-20
end_date                       | 2029-02-19
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 19-2041.00
h_1b_dependent                 | No
-[ RECORD 7 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25227-245288
job_title                      | Coordinator, FYE Programs, Campus Leadership
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU Student Success & Enrollment Mgt., Student Engagement
worksite_address2              | Corbett Center, Student Union Room 207, International Mall
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller PA
employer_address1              | P.O. Box 30001, MSC 3HRS
employer_address2              | 
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-02-06
end_date                       | 2029-02-05
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 13-1121.00
h_1b_dependent                 | No
-[ RECORD 8 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25325-428820
job_title                      | Assistant Professor Biology
employer_name                  | New Mexico State University Grants Community College
secondary_entity_business_name | 
employer_phone                 | 15052876625
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | Natural Sciences, NMSU Grants Community College
worksite_address2              | 1500 N. Third Street
worksite_city                  | Grants
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller P.A.
employer_address1              | 1500 N. Third Street
employer_address2              | 
employer_city                  | Grants
employer_state                 | NM
employer_postal_code           | 87020
begin_date                     | 2026-01-01
end_date                       | 2028-12-31
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University Grants Community College
soc_code                       | 25-1042.00
h_1b_dependent                 | No
-[ RECORD 9 ]------------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25311-388404
job_title                      | Research Scientist, Intermediate
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU Klipsch Sch. of Electrical and Computer Engineering
worksite_address2              | 1780 E. University Ave
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller P.A.
employer_address1              | P.O. Box 30001 MSC 3HRS
employer_address2              | 
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-01-01
end_date                       | 2028-12-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 17-2073.00
h_1b_dependent                 | No
-[ RECORD 10 ]-----------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25337-455093
job_title                      | Assistant Professor
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | Klipsch School of Electrical and Computer Engineering
worksite_address2              | Thomas & Brown Hall 1125 Frenger Mall
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller P.A.
employer_address1              | P.O. Box 30001 MSC 3HRS
employer_address2              | 
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2026-01-01
end_date                       | 2028-12-31
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 25-1032.00
h_1b_dependent                 | No
-[ RECORD 11 ]-----------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25311-388514
job_title                      | Post Doctoral
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU ACES Plant & Environmental Sciences
worksite_address2              | Skeen Hall
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller PA
employer_address1              | P.O. Box 30001
employer_address2              | MSC 3HRS
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2025-12-31
end_date                       | 2028-12-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 19-2099.01
h_1b_dependent                 | No
-[ RECORD 12 ]-----------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25262-321153
job_title                      | Post Doctoral
employer_name                  | New Mexico State University
secondary_entity_business_name | 
employer_phone                 | 15756462808
employer_poc_first_name        | Joyce
employer_poc_last_name         | Rindner
employer_poc_email             | teamHRS@nmsu.edu
employer_poc_phone             | 15756462808
employer_poc_phone_ext         | 
worksite_address1              | NMSU Civil Engineering Department
worksite_address2              | 3035 S Espina Street.
worksite_city                  | Las Cruces
worksite_county                | 
lawfirm_name_business_name     | Maney Gordon Zeller PA
employer_address1              | P.O. Box 30001
employer_address2              | MSC 3HRS
employer_city                  | Las Cruces
employer_state                 | NM
employer_postal_code           | 88003
begin_date                     | 2025-12-31
end_date                       | 2028-12-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | New Mexico State University
soc_code                       | 19-2031.00
h_1b_dependent                 | No
-[ RECORD 13 ]-----------------+--------------------------------------------------------------------------------------------------------
case_number                    | I-200-25153-042252
job_title                      | Software Developer
employer_name                  | Technology Consultants Inc
secondary_entity_business_name | New Mexico Department of Workforce Solutions
employer_phone                 | 12484268115
employer_poc_first_name        | Aruna
employer_poc_last_name         | Balabhadra
employer_poc_email             | aruna@techconsultinc.com
employer_poc_phone             | 12484268115
employer_poc_phone_ext         | 
worksite_address1              | 401 Broadway Blvd NE
worksite_address2              | 
