-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25336-451103
job_title                      | .NET Developer
employer_name                  | CSX Tech Inc
secondary_entity_business_name | New York State Office of Children and Family  Services (OCFS)
employer_phone                 | 14694434700
employer_poc_first_name        | Hari
employer_poc_last_name         | Kancharla
employer_poc_email             | immigration@csxtech.com
employer_poc_phone             | 14694434700
employer_poc_phone_ext         | 
worksite_address1              | 6 Empire State Plaza  Swan St. Building, Core 3
worksite_address2              | Floor 2
worksite_city                  | Albany
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 4975 Preston Park Blvd
employer_address2              | Suite 55
employer_city                  | Plano
employer_state                 | TX
employer_postal_code           | 75093
begin_date                     | 2026-06-02
end_date                       | 2029-06-01
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | CSX Tech Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25357-504492
job_title                      | Oracle PL, SQL Developer
employer_name                  | GPS IT Solutions LLC
secondary_entity_business_name | Fire Department of the City of New York (FDNY)
employer_phone                 | 12057256797
employer_poc_first_name        | Varada Rajasekhar
employer_poc_last_name         | Peramsetty
employer_poc_email             | sekhar@gpsitsolutions.com
employer_poc_phone             | 12057256797
employer_poc_phone_ext         | 
worksite_address1              | 9 MetroTech Center
worksite_address2              | 
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 6340 Sugarloaf Parkway
employer_address2              | Suite 227
employer_city                  | Duluth
employer_state                 | GA
employer_postal_code           | 30097
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | GPS IT Solutions LLC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25310-383041
job_title                      | Software Architect
employer_name                  | Sligo Software Solutions Inc
secondary_entity_business_name | New York State - WorkersCompensation Board
employer_phone                 | 15184440459
employer_poc_first_name        | Satish
employer_poc_last_name         | Busarapu
employer_poc_email             | immigration@sligosoft.com
employer_poc_phone             | 15184440459
employer_poc_phone_ext         | 
worksite_address1              | 1220 Washington Ave, Building 5
worksite_address2              | Harriman Campus rd
worksite_city                  | Albany
worksite_county                | 
lawfirm_name_business_name     | BBI Law Group,P.C.
employer_address1              | 12 Metropark Road
employer_address2              | STE 112
employer_city                  | Albany
employer_state                 | NY
employer_postal_code           | 12205
begin_date                     | 2026-05-02
end_date                       | 2029-05-01
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Sligo Software Solutions Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25346-478768
job_title                      | Systems Architect
employer_name                  | GDN Infotech Inc
secondary_entity_business_name | New York City Department of Education (NYCDOE)
employer_phone                 | 13172193236
employer_poc_first_name        | Bharat
employer_poc_last_name         | Gali
employer_poc_email             | gali@gdninfo.net
employer_poc_phone             | 13172193236
employer_poc_phone_ext         | 
worksite_address1              | 2 MetroTech center
worksite_address2              | 
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | Corporate Immigration Partners PC
employer_address1              | 2346 S. Lynhurst Dr.
employer_address2              | Suite F201C
employer_city                  | Indianapolis
employer_state                 | IN
employer_postal_code           | 46241
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | GDN Infotech Inc
soc_code                       | 15-1299.08
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472840
job_title                      | Students with Disabilities (Preschool) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 14
new_employment                 | 4
continued_employment           | 6
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2051.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472851
job_title                      | Students with Disabilities (Middle) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 27
new_employment                 | 11
continued_employment           | 12
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2057.00
h_1b_dependent                 | No
-[ RECORD 7 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472849
job_title                      | Students with Disabilities (Elementary) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 23
new_employment                 | 10
continued_employment           | 9
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2056.00
h_1b_dependent                 | No
-[ RECORD 8 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472861
job_title                      | Students with Disabilities (Secondary) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 20
new_employment                 | 7
continued_employment           | 9
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2058.00
h_1b_dependent                 | No
-[ RECORD 9 ]------------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472860
job_title                      | Social Studies (Middle) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 13
new_employment                 | 4
continued_employment           | 5
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2022.00
h_1b_dependent                 | No
-[ RECORD 10 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472857
job_title                      | Social Studies (Secondary) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 13
new_employment                 | 4
continued_employment           | 5
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2031.00
h_1b_dependent                 | No
-[ RECORD 11 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25344-472852
job_title                      | Students with Disabilities (Kindergarten) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 14
new_employment                 | 4
continued_employment           | 6
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2055.00
h_1b_dependent                 | No
-[ RECORD 12 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25345-475330
job_title                      | English Language Arts (Secondary) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 14
new_employment                 | 5
continued_employment           | 5
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
employer_name                  | New York City Department of Education
soc_code                       | 25-2031.00
h_1b_dependent                 | No
-[ RECORD 13 ]-----------------+------------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25345-475327
job_title                      | Generalist in Middle Childhood Education (Middle) Teacher
employer_name                  | New York City Department of Education
secondary_entity_business_name | 
employer_phone                 | 17189354193
employer_poc_first_name        | Ruben
employer_poc_last_name         | Rosa
employer_poc_email             | rrosa@schools.nyc.gov
employer_poc_phone             | 17189354193
employer_poc_phone_ext         | 
worksite_address1              | 65 Court Street
worksite_address2              | Rm 506C
worksite_city                  | Brooklyn
worksite_county                | 
lawfirm_name_business_name     | McCandlish Holton PC
employer_address1              | 65 Court Street
employer_address2              | Room 506C
employer_city                  | Brooklyn
employer_state                 | NY
employer_postal_code           | 11201
begin_date                     | 2026-05-01
end_date                       | 2029-04-30
total_worker_positions         | 10
new_employment                 | 3
continued_employment           | 3
change_previous_employment     | 0
new_concurrent_employment      | 1
change_employer                | 2
amended_petition               | 1
