case_number|job_title|employer_name|secondary_entity_business_name|employer_phone|employer_poc_first_name|employer_poc_last_name|employer_poc_email|employer_poc_phone|employer_poc_phone_ext|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|new_employment|continued_employment|change_previous_employment|new_concurrent_employment|change_employer|amended_petition|employer_name|soc_code|h_1b_dependent
I-200-25336-450961|Academic Advisor|North Carolina State University||19195154518|Jill|Blitstein|jill_blitstein@ncsu.edu|19195154518||2801 Founders Drive||Raleigh|||2711 Sullivan Dr.|CB 7210, Human Resources|Raleigh|NC|27695|2026-06-01|2029-05-31|1|1|0|0|0|0|0|North Carolina State University|21-1012.00|No
I-200-25336-449216|IT Business Systems Analyst II|North Carolina State University||19195154518|Jill|Blitstein|jill_blitstein@ncsu.edu|19195154518||2114 Avent Ferry Road||Raleigh|||2711 Sullivan Dr.|CB 7210, Human Resources|Raleigh|NC|27695|2026-04-17|2029-04-16|1|0|1|0|0|0|0|North Carolina State University|15-1211.00|No
I-200-25356-501469|Lecturer|North Carolina State University||19195154518|Jill|Blitstein|jill_blitstein@ncsu.edu|19195154518||2211 Hillsborough Street||Raleigh|||2711 Sullivan Dr.|CB 7210, Human Resources|Raleigh|NC|27695|2026-04-13|2029-04-12|1|0|1|0|0|0|0|North Carolina State University|25-1123.00|No
I-200-25350-485830|SOFTWARE DEVELOPER|MSR TECHNOLOGY GROUP LLC|STATE OF NORTH CAROLINA|17327344098|DONNA|BORDEN|IMMIGRATION@MSRTECHNOLOGIES.COM|12175034990||1910, Human Service Lane||Raleigh|||5250 CLAREMONT AVE|SUITE 249|STOCKTON|CA|95207|2026-04-07|2029-04-06|1|0|1|0|0|0|0|MSR TECHNOLOGY GROUP LLC|15-1252.00|Yes
I-200-25350-485809|SOFTWARE DEVELOPER|MSR TECHNOLOGY GROUP LLC|STATE OF NORTH CAROLINA|17327344098|DONNA|BORDEN|IMMIGRATION@MSRTECHNOLOGIES.COM|12175034990||1910, Human Service Lane||Raleigh|||5250 CLAREMONT AVE|SUITE 249|STOCKTON|CA|95207|2026-04-07|2029-04-06|1|0|1|0|0|0|0|MSR TECHNOLOGY GROUP LLC|15-1252.00|Yes
I-200-25350-485744|SOFTWARE DEVELOPER|MSR TECHNOLOGY GROUP LLC|STATE OF NORTH CAROLINA|17327344098|DONNA|BORDEN|IMMIGRATION@MSRTECHNOLOGIES.COM|12175034990||1910, Human Service Lane||Raleigh|||5250 CLAREMONT AVE|SUITE 249|STOCKTON|CA|95207|2026-04-07|2029-04-06|1|0|1|0|0|0|0|MSR TECHNOLOGY GROUP LLC|15-1252.00|Yes
I-200-25323-422945|SOFTWARE DEVELOPER|Infojini Inc|North Carolina Department of Justice|14432570086|Sandeep|Harjani|Sandeep.harjani@infojiniconsulting.com|14432570086||114 W Edenton Street||Raleigh||Chugh LLP|10015 Old Columbia Road|Suite B215|Columbia|MD|21046|2026-04-03|2029-04-02|1|0|1|0|0|0|0|Infojini Inc|15-1252.00|No
I-200-25352-493229|Postdoctoral Research Scholar|North Carolina State University||19195154518|Jill|Blitstein|jill_blitstein@ncsu.edu|19195154518||1060 William Moore Drive||Raleigh|||2711 Sullivan Dr.|CB 7210, Human Resources|Raleigh|NC|27695|2026-04-01|2029-03-31|1|1|0|0|0|0|0|North Carolina State University|19-1029.02|No
I-200-25349-483763|Sr. Technology Application Strategist|North Carolina State University||19195154518|Jill|Blitstein|jill_blitstein@ncsu.edu|19195154518||2114 Avent Ferry Rd|Floor 1|Raleigh|||2711 Sullivan Dr.|CB 7210, Human Resources|Raleigh|NC|27695|2026-03-31|2029-03-30|1|0|1|0|0|0|0|North Carolina State University|15-1217.00|No
I-200-25325-428199|SAP Security Engineer|APPLAB SYSTEMS INC|United States Department of Agriculture (Remote)|17322504672|VENUBABU|DHANEKULA|IMMIGRATION@APPLABSYSTEMS.COM|17322504672||215 Grove Gate Ln.||Indian Trail|||4365 ROUTE 1 SOUTH|SUITE 105|PRINCETON|NJ|08540|2026-03-17|2029-03-16|1|0|1|0|0|0|0|APPLAB SYSTEMS INC|15-1252.00|No
I-200-25323-421327|SAP Security Engineer|APPLAB SYSTEMS INC|United States Department of Agriculture (Remote)|17322504672|VENUBABU|DHANEKULA|IMMIGRATION@APPLABSYSTEMS.COM|17322504672||3831 Memorial Pkwy Apt 2312||Charlotte|||4365 ROUTE 1 SOUTH|SUITE 105|PRINCETON|NJ|08540|2026-03-17|2029-03-16|1|0|1|0|0|0|0|APPLAB SYSTEMS INC|15-1252.00|No
