-[ RECORD 1 ]------------------+-------------------------------------------------------------
case_number                    | I-200-25192-170576
job_title                      | Postdoctoral Scholar
employer_name                  | Oregon State University
secondary_entity_business_name | 
employer_phone                 | 15417376468
employer_poc_first_name        | Kate
employer_poc_last_name         | Comiskey
employer_poc_email             | intl.hire@oregonstate.edu
employer_poc_phone             | 15417476449
employer_poc_phone_ext         | 
worksite_address1              | 1600 SW Western Blvd
worksite_address2              | 
worksite_city                  | Corvallis
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | Oregon State University
employer_address2              | 1600 SW Western Blvd.
employer_city                  | Corvallis
employer_state                 | OR
employer_postal_code           | 97333
begin_date                     | 2025-12-16
end_date                       | 2028-12-15
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Oregon State University
soc_code                       | 19-1013.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-------------------------------------------------------------
case_number                    | I-200-25251-294450
job_title                      | QA Analyst
employer_name                  | Cloudbridge Solutions Inc
secondary_entity_business_name | State of Oregon
employer_phone                 | 17744329051
employer_poc_first_name        | Jayasree
employer_poc_last_name         | Athota
employer_poc_email             | legal@cloudbridgeusa.com
employer_poc_phone             | 17744329051
employer_poc_phone_ext         | 417
worksite_address1              | 680 Cottage St NE
worksite_address2              | 
worksite_city                  | Salem
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 5 Mt Royal Ave
employer_address2              | Suite 150
employer_city                  | Marlborough
employer_state                 | MA
employer_postal_code           | 01752
begin_date                     | 2025-11-03
end_date                       | 2028-11-02
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Cloudbridge Solutions Inc
soc_code                       | 15-1253.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-------------------------------------------------------------
case_number                    | I-200-25195-173242
job_title                      | Assistant Professor
employer_name                  | Oregon State University
secondary_entity_business_name | 
employer_phone                 | 15417376310
employer_poc_first_name        | Kate
employer_poc_last_name         | Comiskey
employer_poc_email             | intl.hire@oregonstate.edu
employer_poc_phone             | 15417376310
employer_poc_phone_ext         | 
worksite_address1              | OSUs Malheur Experiment Station
worksite_address2              | 595 Onion Avenue
worksite_city                  | Ontario
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | Oregon State University
employer_address2              | 1600 SW Western Blvd.
employer_city                  | Corvallis
employer_state                 | OR
employer_postal_code           | 97333
begin_date                     | 2025-10-24
end_date                       | 2028-10-23
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Oregon State University
soc_code                       | 25-1041.00
h_1b_dependent                 | No
