-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25345-476267
job_title                      | Software Engineer
employer_name                  | Computer Global Solutions Inc
secondary_entity_business_name | Department of Veterans Affairs (Through Tria Federal Company).
employer_phone                 | 18133302200
employer_poc_first_name        | Liliana
employer_poc_last_name         | Torres Valencia
employer_poc_email             | liliana.torres@cgstech.us
employer_poc_phone             | 18133302200
employer_poc_phone_ext         | 
worksite_address1              | 8000 Metropolis Dr, Bldg B
worksite_address2              | 
worksite_city                  | Austin
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 3000 BAYPORT DRIVE
employer_address2              | SUITE 840
employer_city                  | TAMPA
employer_state                 | FL
employer_postal_code           | 33607
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Computer Global Solutions Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25345-475858
job_title                      | Software Engineer
employer_name                  | Computer Global Solutions Inc
secondary_entity_business_name | Department of Veterans Affairs through Tria Federal Company
employer_phone                 | 18133302200
employer_poc_first_name        | Liliana
employer_poc_last_name         | Torres Valencia
employer_poc_email             | liliana.torres@cgstech.us
employer_poc_phone             | 18133302200
employer_poc_phone_ext         | 
worksite_address1              | 8000 Metropolis Dr, Bldg B
worksite_address2              | 
worksite_city                  | Austin
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 3000 BAYPORT DRIVE
employer_address2              | SUITE 840
employer_city                  | TAMPA
employer_state                 | FL
employer_postal_code           | 33607
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Computer Global Solutions Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
